0,3.3228085
30,3.32266189
60,3.32252432
90,3.32239696
120,3.32227814
150,3.32216868
180,3.32206568
210,3.32196748
240,3.32187451
270,3.32178533
300,3.32169944
330,3.32161833
360,3.32153995
390,3.32146491
420,3.3213953
450,3.32132751
480,3.32126207
510,3.32119959
540,3.32113937
570,3.32108018
600,3.32102359
630,3.32096856
660,3.3209169
690,3.32086582
720,3.32081633
750,3.32076787
780,3.32072063
810,3.32067571
840,3.32063058
870,3.32058694
900,3.32054316
930,3.32050262
960,3.32046358
990,3.32042463
1020,3.32038617
1050,3.32035021
1080,3.32031429
1110,3.3202772
1140,3.32024138
1170,3.32020489
1200,3.32017141
1230,3.32013899
1260,3.32010592
1290,3.32007576
1320,3.32004496
1350,3.32001386
1380,3.31998429
1410,3.31995377
1440,3.31992551
1470,3.31989566
1500,3.3198678
1530,3.31983958
1560,3.31981196
1590,3.31978562
1620,3.31976032
1650,3.31973433
1680,3.31970781
1710,3.31968238
1740,3.31965806
1770,3.31963252
1800,3.31960813
1830,3.31958291
1860,3.31955836
1890,3.3195352
1920,3.31951127
1950,3.31948939
1980,3.31946627
2010,3.31944535
2040,3.31942309
2070,3.31940078
2100,3.3193796
2130,3.31935713
2160,3.31933497
2190,3.31931284
2220,3.31929202
2250,3.31927149
2280,3.31925055
2310,3.31923122
2340,3.31921112
2370,3.31919099
2400,3.31917019
2430,3.31915024
2460,3.31913069
2490,3.31911159
2520,3.31909327
2550,3.319076
2580,3.3190634
2610,3.31904937
2640,3.31902828
2670,3.31900691
2700,3.31898087
2730,3.31895717
2760,3.31893407
2790,3.31891438
2820,3.31889681
2850,3.3188795
2880,3.31886276
2910,3.31884525
2940,3.3188273
2970,3.31880969
3000,3.31879219
3030,3.31877443
3060,3.31875705
3090,3.31874175
3120,3.31872498
3150,3.31871041
3180,3.31869405
3210,3.31867782
3240,3.31866357
3270,3.31864746
3300,3.31863179
3330,3.31861705
3360,3.31860186
3390,3.31858665
3420,3.31857064
3450,3.31855608
3480,3.31854087
3510,3.31852522
3540,3.31851151
3570,3.31849712
3600,3.31848362
3630,3.31846919
3660,3.31845449
3690,3.31844035
3720,3.31842583
3750,3.31841128
3780,3.31839806
3810,3.31838285
3840,3.31836876
3870,3.31835528
3900,3.31834183
3930,3.31832759
3960,3.31831294
3990,3.31829975
4020,3.31828574
4050,3.31827138
4080,3.31825805
4110,3.31824526
4140,3.31823005
4170,3.31821606
4200,3.31820366
4230,3.31818946
4260,3.31817541
4290,3.31816349
4320,3.31814991
4350,3.3181368
4380,3.31812443
4410,3.31811099
4440,3.31809848
4470,3.31808407
4500,3.31807072
4530,3.31805692
4560,3.31804282
4590,3.31803034
4620,3.31801763
4650,3.31800542
4680,3.31799295
4710,3.31798124
4740,3.31796941
4770,3.3179566
4800,3.31794321
4830,3.31793049
4860,3.31791724
4890,3.31790544
4920,3.31789146
4950,3.31788149
4980,3.3178703
5010,3.31785757
5040,3.31784631
5070,3.31783356
5100,3.31782049
5130,3.31780864
5160,3.31779546
5190,3.31778364
5220,3.3177721
5250,3.31775942
5280,3.31774842
5310,3.31773716
5340,3.31772392
5370,3.3177126
5400,3.3177009
5430,3.31768861
5460,3.31767663
5490,3.31766495
5520,3.31765374
5550,3.31764203
5580,3.31763124
5610,3.31762019
5640,3.31760863
5670,3.31759663
5700,3.31758127
5730,3.31757315
5760,3.3175584
5790,3.31754741
5820,3.31753622
5850,3.31752915
5880,3.31752312
5910,3.31750934
5940,3.31749977
5970,3.31748723
6000,3.31747553
6030,3.31746156
6060,3.31744923
6090,3.31744203
6120,3.31743174
6150,3.31741693
6180,3.31740617
6210,3.31739991
6240,3.31738429
6270,3.31737316
6300,3.31736568
6330,3.31734909
6360,3.31733734
6390,3.31732671
6420,3.31731535
6450,3.31730536
6480,3.31730031
6510,3.31729682
6540,3.31729602
6570,3.3172878
6600,3.31727647
6630,3.31726489
6660,3.31724892
6690,3.31723318
6720,3.31722077
6750,3.31721022
6780,3.31720051
6810,3.31719189
6840,3.31718183
6870,3.31717118
6900,3.31716099
6930,3.3171484
6960,3.31713753
6990,3.31712761
7020,3.31711737
7050,3.31710788
7080,3.31709788
7110,3.31708734
7140,3.31707738
7170,3.31706582
7200,3.31705547
7230,3.31704514
7260,3.31703601
7290,3.31702617
7320,3.31701566
7350,3.31700749
7380,3.31699744
7410,3.31698859
7440,3.31697816
7470,3.31696865
7500,3.31695755
7530,3.31694829
7560,3.31693891
7590,3.31692847
7620,3.316921
7650,3.31691066
7680,3.31690176
7710,3.31689249
7740,3.31688328
7770,3.31687312
7800,3.31686479
7830,3.31685423
7860,3.31684539
7890,3.31683481
7920,3.3168258
7950,3.3168166
7980,3.31680818
8010,3.31679836
8040,3.31678823
8070,3.31677814
8100,3.31677082
8130,3.31676083
8160,3.31675112
8190,3.31674192
8220,3.31673402
8250,3.31672479
8280,3.31671428
8310,3.3167055
8340,3.31669564
8370,3.31668667
8400,3.31667731
8430,3.31666878
8460,3.31665905
8490,3.31665051
8520,3.31664053
8550,3.31663256
8580,3.31662401
8610,3.31661559
8640,3.31660631
8670,3.3165966
8700,3.31658674
8730,3.31657851
8760,3.31656968
8790,3.31656108
8820,3.31655253
8850,3.31654392
8880,3.31653606
8910,3.31652666
8940,3.31651843
8970,3.31650886
9000,3.31650064
9030,3.31649348
9060,3.31648443
9090,3.3164776
9120,3.31646866
9150,3.31645847
9180,3.31644998
9210,3.31644135
9240,3.31643334
9270,3.31642399
9300,3.31641668
9330,3.31640722
9360,3.31639927
9390,3.31639118
9420,3.31638241
